Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Tarefa;TC-213;TOTVS - Iniciar curso e configurar os cursos da ferramenta Knowgap;Anthony Cruz;Anthony Cruz;Médio;Concluído;24/02/2026 07:19;03/03/2026 16:15;Software & Aplicações (Sistemas)
Tarefa;TC-212;Alterar IP padrão da impressora RICOH;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/02/2026 17:12;24/02/2026 07:59;Hardware (Ativos Físicos)
Tarefa;TC-210;Gravar vídeos de treinamento do Jira para o ADM e Corretores da HD;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/02/2026 16:39;23/02/2026 16:39;Software & Aplicações (Sistemas)
História;TC-209;Orçar fechadura eletrônica para entrada da sede;Anthony Cruz;Anthony Cruz;Médio;Em Planejamento;23/02/2026 16:17;25/02/2026 10:52;Gestão & Administrativo
Tarefa;TC-208;Remover roteador da Brisanet e conectar ER7206 via PPPoE;Anthony Cruz;Anthony Cruz;Alto;Concluído;20/02/2026 10:29;20/02/2026 10:30;Telefonia & Redes (Conectividade)
Sub-tarefa;TC-207;Mudar Conexão da Brisanet para modo Bridge pela porta 2 do GW;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/02/2026 10:07;20/02/2026 10:44;Telefonia & Redes (Conectividade)
História;TC-206;Fazer orçamento do Office 365 e Google Workplace em outro fornecedor;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/02/2026 07:24;26/02/2026 13:45;Gestão & Administrativo
Tarefa;TC-205;Solicitar compra de três fones H390 Logitech;Anthony Cruz;Anthony Cruz;Médio;Concluído;19/02/2026 09:42;19/02/2026 09:42;Gestão & Administrativo
Reunião Interna;TC-204;Reunião - Alinhamento de informações sobre o TOTVS;Anthony Cruz;Anthony Cruz;Médio;Concluído;13/02/2026 16:34;13/02/2026 16:35;Gestão & Administrativo
Reunião Interna;TC-203;Reunião - HDI - Criação do portal de documentação do Corretor;Anthony Cruz;Anthony Cruz;Médio;Concluído;12/02/2026 15:25;12/02/2026 15:25;Projetos & Expansão
Reunião Online;TC-202;Reunião - Alinhamento com a TOTVS;Anthony Cruz;Anthony Cruz;Médio;Concluído;11/02/2026 10:56;11/02/2026 13:48;Gestão & Administrativo
História;TC-201;Realizar a cotação dos pacotes do Google;Anthony Cruz;Anthony Cruz;Alto;Concluído;11/02/2026 09:54;18/02/2026 07:17;Gestão & Administrativo
Tarefa;TC-200;Solicitar compra de equipamentos de TI;Anthony Cruz;Anthony Cruz;Médio;Concluído;11/02/2026 09:29;11/02/2026 09:49;Gestão & Administrativo
Tarefa;TC-199;Jira - Readequar o quadro de Suporte ITSM;Anthony Cruz;Anthony Cruz;Alto;Concluído;10/02/2026 13:46;10/02/2026 13:53;Gestão & Administrativo
Reunião Interna;TC-198;Reunião - HDI - Apresentação do portal do Jira e funcionalidades para gestão;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/02/2026 16:14;09/02/2026 16:14;Gestão & Administrativo
Tarefa;TC-197;RH - Fazer pedido de compra de uma impressora para o RH;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/02/2026 14:52;06/02/2026 16:18;Hardware (Ativos Físicos)
Tarefa;TC-196;Visita Técnica - Realizar visita técnica no stand da HDI para avaliar nova internet;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/02/2026 10:55;06/02/2026 16:18;Telefonia & Redes (Conectividade)
Reunião Interna;TC-195;REUNIÃO - Entrevista com Jobson Luiz;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/02/2026 10:09;06/02/2026 16:19;Gestão & Administrativo
Tarefa;TC-194;Solicitar compra - HDI - Impressora laser monocromática e fonte 220-110V;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/02/2026 17:37;06/02/2026 16:19;Hardware (Ativos Físicos)
Tarefa;TC-193;Criar e-mails corporativos da legalização;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/02/2026 15:26;06/02/2026 16:19;Software & Aplicações (Sistemas)
Tarefa;TC-192;Solicitar compra de EAP235-wall para rede da Conexão;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/02/2026 11:29;06/02/2026 16:19;Projetos & Expansão
Tarefa;TC-191;Impressora - Cotar impressora para HDI;Anthony Cruz;Anthony Cruz;Médio;Concluído;04/02/2026 17:06;06/02/2026 16:20;Hardware (Ativos Físicos)
Tarefa;TC-190;Criar QR Code do link do formulário da ouvidoria;Anthony Cruz;Anthony Cruz;Baixo;Concluído;04/02/2026 17:02;06/02/2026 16:20;Gestão & Administrativo
Tarefa;TC-189;Criar e-mail para diretor financeiro da Conexão;Anthony Cruz;Anthony Cruz;Médio;Concluído;04/02/2026 14:34;06/02/2026 16:20;Software & Aplicações (Sistemas)
Reunião Online;TC-187;Reunião - TNU - Detalhamento de necessidades HR;Anthony Cruz;Anthony Cruz;Médio;Concluído;04/02/2026 14:27;06/02/2026 16:20;Software & Aplicações (Sistemas)
Reunião Interna;TC-186;Grupo Conexão - Reunião de de Líderes;Anthony Cruz;Anthony Cruz;Médio;Concluído;04/02/2026 14:24;06/02/2026 16:21;Gestão & Administrativo
Sub-tarefa;TC-183;Instalar e configurar Equipamentos de rede do Galpão Vida Nova;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;03/02/2026 14:40;06/02/2026 16:17;Projetos & Expansão
Sub-tarefa;TC-182;Solicitar compra de ativos de Rede do Galpão Vida Nova;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;03/02/2026 14:40;06/02/2026 16:17;Projetos & Expansão
Sub-tarefa;TC-181;Fazer o projeto de redes do Galpão Vida Nova;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;03/02/2026 14:40;06/02/2026 16:17;Projetos & Expansão
Sub-tarefa;TC-180;Fazer visita técnica para coleta de informações e análise técnica;Anthony Cruz;Anthony Cruz;Médio;Concluído;03/02/2026 14:39;11/03/2026 15:14;Projetos & Expansão
Sub-tarefa;TC-179;Contratar novo plano de Internet para HD;Anthony Cruz;Anthony Cruz;Médio;Concluído;03/02/2026 14:15;06/02/2026 16:21;Telefonia & Redes (Conectividade)
